2024.12.07 16:29:36.191483 [uid:1000,gid:1000,pid:15688] open (9223372032559808513,0x8000) [fh:11] - OK <0.000025>
#
#
#
#
#
#
#
2024.12.07 16:29:44.329832 [uid:1000,gid:1000,pid:15701] getattr (1): (1,[drwxrwxrwx:0040777,2,0,0,1731231220,1733134454,1733134454,4096]) - OK <0.000761>
2024.12.07 16:29:44.330324 [uid:1000,gid:1000,pid:15701] lookup (1,np0.npy): (5121,[-rw-r--r--:0100644,1,1000,1000,1733106411,1733106412,1733106412,64000128]) - OK <0.000350>
2024.12.07 16:29:44.331005 [uid:1000,gid:1000,pid:15701] open (5121,0x8000) [fh:13] - OK <0.000567>
2024.12.07 16:29:44.350465 [uid:1000,gid:1000,pid:15701] read (5121,131072,0,13): (131072) - OK <0.019169>
2024.12.07 16:29:44.352268 [uid:1000,gid:1000,pid:15701] getattr (5121): (5121,[-rw-r--r--:0100644,1,1000,1000,1733106411,1733106412,1733106412,64000128]) - OK <0.000495>
2024.12.07 16:29:44.352515 [uid:1000,gid:1000,pid:15701] read (5121,131072,131072,13): (131072) - OK <0.000038>
2024.12.07 16:29:44.352647 [uid:1000,gid:1000,pid:15701] read (5121,131072,262144,13): (131072) - OK <0.000025>
2024.12.07 16:29:44.353081 [uid:1000,gid:1000,pid:15701] read (5121,131072,393216,13): (131072) - OK <0.000021>
2024.12.07 16:29:44.353783 [uid:1000,gid:1000,pid:15701] read (5121,131072,524288,13): (131072) - OK <0.000034>
2024.12.07 16:29:44.353855 [uid:1000,gid:1000,pid:15701] read (5121,131072,655360,13): (131072) - OK <0.000070>
2024.12.07 16:29:44.354575 [uid:1000,gid:1000,pid:15701] read (5121,131072,786432,13): (131072) - OK <0.000043>
2024.12.07 16:29:44.354609 [uid:1000,gid:1000,pid:15701] read (5121,131072,917504,13): (131072) - OK <0.000033>
2024.12.07 16:29:44.355160 [uid:1000,gid:1000,pid:15701] read (5121,131072,1048576,13): (131072) - OK <0.000028>
2024.12.07 16:29:44.355199 [uid:1000,gid:1000,pid:15701] read (5121,131072,1179648,13): (131072) - OK <0.000027>
2024.12.07 16:29:44.355319 [uid:1000,gid:1000,pid:15701] read (5121,131072,1310720,13): (131072) - OK <0.000016>
2024.12.07 16:29:44.355382 [uid:1000,gid:1000,pid:15701] read (5121,131072,1441792,13): (131072) - OK <0.000026>
2024.12.07 16:29:44.355455 [uid:1000,gid:1000,pid:15701] read (5121,131072,1572864,13): (131072) - OK <0.000014>
2024.12.07 16:29:44.355511 [uid:1000,gid:1000,pid:15701] read (5121,131072,1703936,13): (131072) - OK <0.000020>
2024.12.07 16:29:44.355992 [uid:1000,gid:1000,pid:15701] read (5121,131072,1835008,13): (131072) - OK <0.000029>
2024.12.07 16:29:44.356028 [uid:1000,gid:1000,pid:15701] read (5121,131072,1966080,13): (131072) - OK <0.000024>
2024.12.07 16:29:44.356233 [uid:1000,gid:1000,pid:15701] read (5121,131072,2097152,13): (131072) - OK <0.000051>
2024.12.07 16:29:44.356566 [uid:1000,gid:1000,pid:15701] read (5121,131072,2228224,13): (131072) - OK <0.000026>
